SID,Lobe,Fractal_Dimension,Linear_Fit,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
096_pect_phfirst_053013,whole,2.3132,y = -2.3132x + 14.6973,2.5728,2.1262,2.3505
097_pect_phfirst_052913,left,2.4030,y = -2.4030x + 14.0647,2.5598,2.2275,2.3899
097_pect_phfirst_052913,right,2.4360,y = -2.4360x + 14.3155,2.6223,2.2289,2.4539
097_pect_phfirst_052913,whole,2.4209,y = -2.4209x + 14.8910,2.6262,2.2296,2.4325
098_pect_phfirst_041014,left,2.3629,y = -2.3629x + 13.8466,2.5859,2.1664,2.4022
098_pect_phfirst_041014,right,2.3998,y = -2.3998x + 14.1203,2.6397,2.1853,2.4514
098_pect_phfirst_041014,whole,2.3832,y = -2.3832x + 14.6855,2.6138,2.1772,2.4322
099_pect_phfirst_051314,left,2.3087,y = -2.3087x + 14.2190,2.5381,2.1499,2.3097
099_pect_phfirst_051314,right,2.3529,y = -2.3529x + 14.5446,2.6000,2.1497,2.3928
099_pect_phfirst_051314,whole,2.3336,y = -2.3336x + 15.0873,2.5649,2.1503,2.3650
100_pect_phfirst_052914,left,2.3483,y = -2.3483x + 14.4136,2.6421,2.0759,2.3976
100_pect_phfirst_052914,right,2.3399,y = -2.3399x + 14.4759,2.6758,2.0592,2.3854
100_pect_phfirst_052914,whole,2.3433,y = -2.3433x + 15.1375,2.6689,2.0654,2.3924
106_ncct_phfirst_072215,left,2.3822,y = -2.3822x + 13.9638,2.5570,2.2230,2.4152
106_ncct_phfirst_072215,right,2.3890,y = -2.3890x + 14.3131,2.6105,2.2022,2.4186
106_ncct_phfirst_072215,whole,2.3864,y = -2.3864x + 14.8471,2.5775,2.2164,2.4172
107_pect_phfirst_061314,left,2.3984,y = -2.3984x + 14.4674,2.5813,2.2129,2.4327
107_pect_phfirst_061314,right,2.4202,y = -2.4202x + 14.6415,2.6245,2.2118,2.4678
107_pect_phfirst_061314,whole,2.4096,y = -2.4096x + 15.2510,2.6134,2.2132,2.4488
108_pect_phfirst_081914,left,2.3854,y = -2.3854x + 14.2023,2.6377,2.1797,2.4458
108_pect_phfirst_081914,right,2.3898,y = -2.3898x + 14.3262,2.6660,2.1732,2.3943
108_pect_phfirst_081914,whole,2.3842,y = -2.3842x + 14.9539,2.5516,2.1806,2.3954
109_pect_phfirst_041714,left,2.3466,y = -2.3466x + 14.4616,2.5707,2.1543,2.3689
109_pect_phfirst_041714,right,2.3636,y = -2.3636x + 14.6931,2.6765,2.1632,2.4001
109_pect_phfirst_041714,whole,2.3567,y = -2.3567x + 15.2785,2.6370,2.1593,2.3940
110_pect_phfirst_020113,left,2.2600,y = -2.2600x + 13.6588,2.6149,2.0123,2.2897
110_pect_phfirst_020113,right,2.2855,y = -2.2855x + 13.8990,2.5979,2.0052,2.3344
110_pect_phfirst_020113,whole,2.2737,y = -2.2737x + 14.4792,2.5945,2.0032,2.3156
111_pect_phfirst_100214,left,2.3299,y = -2.3299x + 14.1452,2.5998,2.1907,2.3296
111_pect_phfirst_100214,right,2.3382,y = -2.3382x + 14.4024,2.5943,2.1827,2.3431
111_pect_phfirst_100214,whole,2.3354,y = -2.3354x + 14.9768,2.5885,2.1855,2.3386
112_pect_phfirst_092514,left,2.3393,y = -2.3393x + 14.2753,2.5859,2.1304,2.3682
112_pect_phfirst_092514,right,2.3653,y = -2.3653x + 14.4190,2.6343,2.1292,2.4035
112_pect_phfirst_092514,whole,2.3527,y = -2.3527x + 15.0425,2.6370,2.1292,2.3842
114_pect_phfirst_071114,left,2.3239,y = -2.3239x + 13.9480,2.4224,2.2442,2.3349
114_pect_phfirst_071114,right,2.3575,y = -2.3575x + 13.9760,2.4936,2.2637,2.3627
114_pect_phfirst_071114,whole,2.3413,y = -2.3413x + 14.6556,2.4888,2.2504,2.3506
115_pect_phfirst_040414,left,2.4700,y = -2.4700x + 14.5169,2.6030,2.3049,2.4787
115_pect_phfirst_040414,right,2.4821,y = -2.4821x + 14.6637,2.6169,2.2986,2.4965
115_pect_phfirst_040414,whole,2.4731,y = -2.4731x + 15.2806,2.6235,2.3024,2.4877
116_pect_phfirst_090814,left,2.2634,y = -2.2634x + 13.9850,2.5179,2.1250,2.2618
116_pect_phfirst_090814,right,2.2634,y = -2.2634x + 14.0361,2.5648,2.1362,2.2676
116_pect_phfirst_090814,whole,2.2629,y = -2.2629x + 14.7044,2.4894,2.1288,2.2589
117_pect_phfirst_021414,right,2.4450,y = -2.4450x + 13.9796,2.5749,2.2912,2.4429
119_pect_phfirst_102414,left,2.3058,y = -2.3058x + 12.9990,2.4530,2.2033,2.3339
120_pect_phfirst_010715,left,2.3836,y = -2.3836x + 14.2740,2.5520,2.2416,2.4105
120_pect_phfirst_010715,right,2.3924,y = -2.3924x + 14.1743,2.5851,2.2299,2.4253
120_pect_phfirst_010715,whole,2.3859,y = -2.3859x + 14.9153,2.5577,2.2360,2.4132
122_pect_phfirst_111314,left,2.3973,y = -2.3973x + 14.6363,2.5423,2.2427,2.4207
122_pect_phfirst_111314,right,2.3903,y = -2.3903x + 14.6144,2.6154,2.2280,2.4134
122_pect_phfirst_111314,whole,2.3938,y = -2.3938x + 15.3182,2.5858,2.2368,2.4258
123_pect_phfirst_113014,left,2.4226,y = -2.4226x + 14.4755,2.6031,2.2379,2.4708
123_pect_phfirst_113014,right,2.3980,y = -2.3980x + 14.0258,2.6064,2.2178,2.4291
123_pect_phfirst_113014,whole,2.4128,y = -2.4128x + 14.9689,2.6035,2.2319,2.4539
124_pect_phfirst_010415,left,2.3046,y = -2.3046x + 14.0361,2.5412,2.1347,2.3259
124_pect_phfirst_010415,right,2.2653,y = -2.2653x + 14.4884,2.5222,2.0939,2.2715
124_pect_phfirst_010415,whole,2.2794,y = -2.2794x + 14.9789,2.5000,2.1081,2.2923
125_pect_phfirst_122813,left,2.4154,y = -2.4154x + 14.1131,2.6370,2.2427,2.4192
