SID,Lobe,Fractal_Dimension,Linear_Fit,R_Squared,FD_@_1st_Root,FD_@_2nd_Root,FD_@_Positive_Residuals
087_pect_phfirst_042613,left,2.4386,y = -2.4386x + 14.3204,0.9988187542714776,2.6053,2.2503,2.4524
087_pect_phfirst_042613,right,2.4497,y = -2.4497x + 14.3635,0.9987982073470194,2.6107,2.2449,2.4581
087_pect_phfirst_042613,whole,2.4436,y = -2.4436x + 15.0343,0.9988202257472626,2.6137,2.2473,2.4637
088_pect_phfirst_052913,left,2.4032,y = -2.4032x + 14.3365,0.9986526589546249,2.6011,2.2161,2.4103
088_pect_phfirst_052913,right,2.4353,y = -2.4353x + 14.4990,0.9984471328190395,2.6519,2.2127,2.4389
088_pect_phfirst_052913,whole,2.4199,y = -2.4199x + 15.1140,0.9985722672666605,2.5853,2.2132,2.4388
089_pect_phfirst_081413,left,2.3674,y = -2.3674x + 14.1646,0.9986723090131591,2.5643,2.1941,2.3850
089_pect_phfirst_081413,right,2.3449,y = -2.3449x + 14.4397,0.9980859903404571,2.6158,2.1496,2.3701
089_pect_phfirst_081413,whole,2.3544,y = -2.3544x + 15.0048,0.9983642859668738,2.6275,2.1685,2.3821
090_pect_phfirst_030812,left,2.3668,y = -2.3668x + 14.4858,0.9985911459751133,2.6239,2.1850,2.3850
090_pect_phfirst_030812,right,2.3641,y = -2.3641x + 14.7227,0.9980262963686212,2.6481,2.1542,2.4025
090_pect_phfirst_030812,whole,2.3655,y = -2.3655x + 15.3055,0.998265699866873,2.5902,2.1675,2.3842
091_pect_phfirst_090913,left,2.3315,y = -2.3315x + 14.0600,0.9988908769682825,2.5292,2.1714,2.3573
091_pect_phfirst_090913,right,2.3226,y = -2.3226x + 14.2291,0.9986030451224441,2.5995,2.1578,2.3391
091_pect_phfirst_090913,whole,2.3256,y = -2.3256x + 14.8392,0.9987642733816611,2.5825,2.1648,2.3445
093_pect_phfrist_111612,right,2.4284,y = -2.4284x + 13.8286,0.9994608621511166,2.4901,2.2994,2.4481
093_pect_phfrist_111612,whole,2.4054,y = -2.4054x + 14.2799,0.9996229487334252,2.4767,2.3059,2.4144
096_pect_phfirst_053013_exp,left,2.3343,y = -2.3343x + 13.3822,0.9996128556771583,2.4574,2.2265,2.3449
096_pect_phfirst_053013_exp,right,2.3808,y = -2.3808x + 13.9056,0.9990897893356785,2.5423,2.2299,2.4062
096_pect_phfirst_053013_exp,whole,2.3572,y = -2.3572x + 14.3619,0.9993981830487311,2.5116,2.2282,2.3809
096_pect_phfirst_053013,left,2.3257,y = -2.3257x + 13.8578,0.9987464498039016,2.5462,2.1516,2.3601
096_pect_phfirst_053013,right,2.3091,y = -2.3091x + 14.1386,0.9979648228126754,2.6248,2.1049,2.3435
096_pect_phfirst_053013,whole,2.3132,y = -2.3132x + 14.6973,0.9983834878454669,2.5728,2.1262,2.3505
097_pect_phfirst_052913,left,2.4030,y = -2.4030x + 14.0647,0.9988093421572772,2.5598,2.2275,2.3899
097_pect_phfirst_052913,right,2.4360,y = -2.4360x + 14.3155,0.9985886885477132,2.6223,2.2289,2.4539
097_pect_phfirst_052913,whole,2.4209,y = -2.4209x + 14.8910,0.9986808200943083,2.6262,2.2296,2.4325
098_pect_phfirst_041014,left,2.3629,y = -2.3629x + 13.8466,0.9985135888274509,2.5859,2.1664,2.4022
098_pect_phfirst_041014,right,2.3998,y = -2.3998x + 14.1203,0.9982691262452578,2.6397,2.1853,2.4514
098_pect_phfirst_041014,whole,2.3832,y = -2.3832x + 14.6855,0.9983899342438729,2.6138,2.1772,2.4322
099_pect_phfirst_051314,left,2.3087,y = -2.3087x + 14.2190,0.9988571433177189,2.5381,2.1499,2.3097
099_pect_phfirst_051314,right,2.3529,y = -2.3529x + 14.5446,0.9981302777118491,2.6000,2.1497,2.3928
099_pect_phfirst_051314,whole,2.3336,y = -2.3336x + 15.0873,0.9984445726866092,2.5649,2.1503,2.3650
100_pect_phfirst_052914,left,2.3483,y = -2.3483x + 14.4136,0.9967484549877055,2.6421,2.0759,2.3976
100_pect_phfirst_052914,right,2.3399,y = -2.3399x + 14.4759,0.9966095398334729,2.6758,2.0592,2.3854
100_pect_phfirst_052914,whole,2.3433,y = -2.3433x + 15.1375,0.9966697463101367,2.6689,2.0654,2.3924
106_ncct_phfirst_072215,left,2.3822,y = -2.3822x + 13.9638,0.9991131736394511,2.5570,2.2230,2.4152
106_ncct_phfirst_072215,right,2.3890,y = -2.3890x + 14.3131,0.9986169241800223,2.6105,2.2022,2.4186
106_ncct_phfirst_072215,whole,2.3864,y = -2.3864x + 14.8471,0.9988576165392777,2.5775,2.2164,2.4172
107_pect_phfirst_061314,left,2.3984,y = -2.3984x + 14.4674,0.9986469033623442,2.5813,2.2129,2.4327
107_pect_phfirst_061314,right,2.4202,y = -2.4202x + 14.6415,0.9983414709915057,2.6245,2.2118,2.4678
107_pect_phfirst_061314,whole,2.4096,y = -2.4096x + 15.2510,0.9984676755917112,2.6134,2.2132,2.4488
108_pect_phfirst_081914,left,2.3854,y = -2.3854x + 14.2023,0.9985150670977542,2.6377,2.1797,2.4458
108_pect_phfirst_081914,right,2.3898,y = -2.3898x + 14.3262,0.9980678313684905,2.6660,2.1732,2.3943
108_pect_phfirst_081914,whole,2.3842,y = -2.3842x + 14.9539,0.9983715347705912,2.5516,2.1806,2.3954
109_pect_phfirst_041714,left,2.3466,y = -2.3466x + 14.4616,0.9983858219383763,2.5707,2.1543,2.3689
109_pect_phfirst_041714,right,2.3636,y = -2.3636x + 14.6931,0.9982441929149528,2.6765,2.1632,2.4001
109_pect_phfirst_041714,whole,2.3567,y = -2.3567x + 15.2785,0.9982755349475045,2.6370,2.1593,2.3940
110_pect_phfirst_020113,left,2.2600,y = -2.2600x + 13.6588,0.9969052653787707,2.6149,2.0123,2.2897
110_pect_phfirst_020113,right,2.2855,y = -2.2855x + 13.8990,0.9961392499918831,2.5979,2.0052,2.3344
110_pect_phfirst_020113,whole,2.2737,y = -2.2737x + 14.4792,0.9965173052061389,2.5945,2.0032,2.3156
111_pect_phfirst_100214,left,2.3299,y = -2.3299x + 14.1452,0.9990058855937441,2.5998,2.1907,2.3296
111_pect_phfirst_100214,right,2.3382,y = -2.3382x + 14.4024,0.998684441041575,2.5943,2.1827,2.3431
111_pect_phfirst_100214,whole,2.3354,y = -2.3354x + 14.9768,0.9988170767797702,2.5885,2.1855,2.3386
112_pect_phfirst_092514,left,2.3393,y = -2.3393x + 14.2753,0.9980986322330107,2.5859,2.1304,2.3682
112_pect_phfirst_092514,right,2.3653,y = -2.3653x + 14.4190,0.9977162737690218,2.6343,2.1292,2.4035
112_pect_phfirst_092514,whole,2.3527,y = -2.3527x + 15.0425,0.9978854266371044,2.6370,2.1292,2.3842
114_pect_phfirst_071114,left,2.3239,y = -2.3239x + 13.9480,0.9997422958104728,2.4224,2.2442,2.3349
114_pect_phfirst_071114,right,2.3575,y = -2.3575x + 13.9760,0.9996668437423932,2.4936,2.2637,2.3627
114_pect_phfirst_071114,whole,2.3413,y = -2.3413x + 14.6556,0.9996896344548639,2.4888,2.2504,2.3506
115_pect_phfirst_040414,left,2.4700,y = -2.4700x + 14.5169,0.9990823589295699,2.6030,2.3049,2.4787
115_pect_phfirst_040414,right,2.4821,y = -2.4821x + 14.6637,0.998931267620647,2.6169,2.2986,2.4965
115_pect_phfirst_040414,whole,2.4731,y = -2.4731x + 15.2806,0.9990750070445029,2.6235,2.3024,2.4877
116_pect_phfirst_090814,left,2.2634,y = -2.2634x + 13.9850,0.9988878612539531,2.5179,2.1250,2.2618
116_pect_phfirst_090814,right,2.2634,y = -2.2634x + 14.0361,0.9989213598015921,2.5648,2.1362,2.2676
116_pect_phfirst_090814,whole,2.2629,y = -2.2629x + 14.7044,0.9989081532664583,2.4894,2.1288,2.2589
